Metric A,Metric B,p-value,effect,interval_l,interval_r,significant
HEFF,HTRP,0.0,0.9999999999999981,0.9999999999999976,0.9999999999999986,1
HNDB,HVOL,0.0,0.9999999991740678,0.9999999989020484,0.9999999993786939,1
CLOC,TCLOC,2.0447573242114042e-255,0.999710494548918,0.9995191117526919,0.9998257178998243,1
LOC,TLOC,4.171771259637655e-271,0.9975263104409156,0.9964101952612283,0.9982957076939991,1
LLOC,TLLOC,4.1535946242179544e-263,0.9967054495828827,0.9952699433120391,0.9977058006362876,1
NOS,TNOS,2.988847740754962e-245,0.9962346001056687,0.9945662157309333,0.9973913951608051,1
HNDB,HPL,0.0,0.9818178398041307,0.9800247706620375,0.9834512999786593,1
HPL,HVOL,0.0,0.9818177602344014,0.9800246867682729,0.9834512246396832,1
HCPL,HVOL,0.0,0.9806081297535436,0.9781534051303366,0.9827894365859616,1
HCPL,HNDB,0.0,0.9806080119486278,0.9781532705044585,0.9827893335542448,1
TLLOC,TLOC,0.0,0.9683535646299913,0.962950555835833,0.972979485874538,1
LLOC,LOC,0.0,0.9665638464293983,0.9609698447100009,0.9713677937238868,1
HCPL,HPL,0.0,0.9659776422323038,0.962326897301933,0.9692801468725913,1
HPL,HPV,0.0,0.9653980849678648,0.9623643907032702,0.9681912059863951,1
HCPL,HPV,0.0,0.9602810595412099,0.957137460868173,0.9631984376038545,1
WarningInfo,Size Metric Rules,0.0,0.9567542279009906,0.9486335759492701,0.9636150362511374,1
LOC,TLLOC,0.0,0.954043701124365,0.9473757640135745,0.9598841586104534,1
LLOC,TLOC,0.0,0.9521717845692865,0.945481826597162,0.9580585116762668,1
HNDB,HPV,0.0,0.9274100709276198,0.9223762950245329,0.9321289392988518,1
HPV,HVOL,0.0,0.9274100510748643,0.9223762834151092,0.9321289122859052,1
HTRP,HVOL,0.0,0.9237624325539018,0.9104946981278471,0.9351302160463268,1
HEFF,HVOL,0.0,0.9237624324550182,0.9104946980770386,0.9351302159143532,1
HNDB,HTRP,0.0,0.9237624217607964,0.910494684352905,0.9351302076825505,1
HEFF,HNDB,0.0,0.9237624216618533,0.9104946843020255,0.9351302075505271,1
CLOC,DLOC,1.0208976342534014e-140,0.8987424878937899,0.8744991629674852,0.9185062658388738,1
TLLOC,TNOS,0.0,0.897238859447128,0.8827534091000103,0.9100202069974809,1
DLOC,TCLOC,9.041266060304096e-136,0.8935517819572055,0.8681517990403506,0.9142830844045344,1
LLOC,NOS,0.0,0.892040788684355,0.8768644999567892,0.9054408561078916,1
HDIF,HPV,0.0,0.88730413718671,0.873858491336951,0.8993935354167611,1
NOS,TLLOC,0.0,0.8795960769898357,0.8639441545699564,0.8935502279949524,1
LLOC,TNOS,0.0,0.8782844469186092,0.8615272206942961,0.8931302237313147,1
TLOC,TNOS,0.0,0.8776807503738783,0.8627322685186949,0.8910965134596751,1
LOC,NOS,0.0,0.8718321756629633,0.8563113597330799,0.8857796367703388,1
HCPL,HTRP,7.562542437394138e-294,0.8706408670108836,0.8522352970887254,0.8868938360763107,1
HCPL,HEFF,7.562530928702245e-294,0.8706408667932553,0.8522352968779046,0.8868938358568258,1
HPL,HTRP,0.0,0.8650284449529196,0.8517948037890808,0.8771588060856863,1
HEFF,HPL,0.0,0.8650284448972003,0.8517948036899621,0.8771588060668843,1
NOS,TLOC,0.0,0.8608763561466896,0.8448664935255571,0.8753456302291661,1
LOC,TNOS,0.0,0.8602097319011698,0.8436934942227402,0.8750989981811458,1
HDIF,HPL,0.0,0.858332938424353,0.8423266498078734,0.8728265045507464,1
McCC,NOS,4.4334739430172235e-282,0.827823766295057,0.8064096286306731,0.8470697008734808,1
McCC,TNOS,2.7503177605401922e-266,0.810425155044837,0.7875075924752154,0.8311045719961185,1
HCPL,HDIF,2.027011267434245e-304,0.7884759133760411,0.7662969323645886,0.8087779290581203,1
HDIF,HNDB,2.162262265256538e-280,0.7823994107140873,0.7590324592272392,0.8037532353476008,1
HDIF,HVOL,2.162721082021549e-280,0.7823992055685708,0.7590322432683642,0.8037530412375197,1
HPV,HTRP,0.0,0.7699593795995144,0.7542826137351498,0.7847586845668654,1
HEFF,HPV,0.0,0.7699593794368512,0.7542826135326511,0.784758684440388,1
WarningInfo,Anti Pattern,0.0,0.7665539120575742,0.752719753018501,0.7797113891494915,1
TLLOC,WarningInfo,0.0,0.7433673239231565,0.72129017694219,0.7639355308391991,1
TLOC,WarningInfo,0.0,0.7379265928038369,0.7154304122205961,0.758894330753114,1
LLOC,McCC,1.2210358266174517e-198,0.734616520889343,0.7051637183148146,0.7615385794626456,1
LLOC,WarningInfo,7.149648596708136e-309,0.7331342347511478,0.7097431055230814,0.7549105447609452,1
LOC,WarningInfo,7.439338926293353e-303,0.7280123717842658,0.7042957280948291,0.7501057550042769,1
LOC,McCC,2.2277928221231545e-218,0.7242166698447073,0.69600582835282,0.7501951313036411,1
McCC,TLLOC,7.453650923287088e-193,0.7225806220170772,0.6924337653288407,0.7502086859048968,1
McCC,TLOC,7.133215387688408e-210,0.7133483672454745,0.6843738643822438,0.7400734688658193,1
McCC,HPV,1.4134390504247041e-241,0.701904654826152,0.6748575851374491,0.7270684482663738,1
